PostalCode,Borough,Neighborhood,Latitude,Longitude
M3A,North York,Parkwoods,43.7532586,-79.3296565
M4A,North York,Victoria Village,43.7258823,-79.3155716
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633
M7A,Queen's Park,Ontario Provincial Government,43.6623015,-79.3894938
M9A,Etobicoke,Islington Avenue,43.6678556,-79.5322424
M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534
M3B,North York,Don Mills North,43.7459058,-79.352188
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371
M6B,North York,Glencairn,43.709577,-79.4450726
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7845351,-79.1604971
M3C,North York,Don Mills South,43.7258997,-79.340923
M4C,East York,Woodbine Heights,43.6953439,-79.3183887
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M6C,York,Humewood-Cedarvale,43.6937813,-79.4281914
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.5772008
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7635726,-79.1887115
M4E,East Toronto,The Beaches,43.6763574,-79.2930312
M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
M1G,Scarborough,Woburn,43.7709921,-79.2169174
M4G,East York,Leaside,43.7090604,-79.3634517
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M1H,Scarborough,Cedarbrae,43.773136,-79.2394761
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
M4H,East York,Thorncliffe Park,43.7053689,-79.3493719
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593
M1J,Scarborough,Scarborough Village,43.7447342,-79.2394761
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
M3J,North York,"Northwood Park, York University",43.7679803,-79.4872619
M4J,East York/East Toronto,The Danforth  East,43.685347,-79.3381065
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523
M6J,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294
M2K,North York,Bayview Village,43.7869473,-79.385975
