PostalCode,Borough,Neighborhood,BoroughLatitude,BoroughLongitude,VenueName,VenueLatitude,VenueLongitude,VenueCategory
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Souvlaki Express,43.65558391537734,-79.36443816909016,Greek Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Underpass Park,43.65576361726024,-79.3548059463501,Park
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Aviary,43.65363394725125,-79.35466212072043,Pub
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Corktown Common,43.655617799749734,-79.3562113397429,Park
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,TD Canada Trust,43.652779762702764,-79.3563362625656,Bank
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Starbucks,43.651613,-79.364917,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Caffe Furbo,43.649969882303814,-79.35884946388191,Café
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Subway,43.65570120830647,-79.36464396270765,Sandwich Place
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Soulpepper Theatre,43.65078003430492,-79.35761534068922,Theater
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Izumi,43.6499697935016,-79.36015326451906,Asian Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Arta Gallery,43.650022181882065,-79.36122168476822,Art Gallery
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,The Beer Store,43.657773,-79.3574632,Beer Store
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Mill St. Brew Pub,43.65035331843578,-79.35848936650571,Pub
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Dollarama,43.651227,-79.36517,Discount Store
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Flame Shack,43.656844075440546,-79.35891727496157,Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Nava Social,43.656678,-79.356516,Café
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Kibo Sushi House 希,43.658522,-79.359717,Sushi Restaurant
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,GW General,43.650495,-79.357538,Antique Shop
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,Sumach-Shuter Parkette,43.65848972987893,-79.35869192148257,Playground
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Page One Cafe,43.65777161112601,-79.3760725691681,Café
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Blaze Pizza,43.656518,-79.380015,Pizza Place
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Oakham Café,43.658077944767534,-79.37831497990125,Café
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Burrito Boyz,43.656265264409015,-79.37834318376771,Burrito Place
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Milo's Pita,43.65626969248787,-79.38097430189029,Falafel Restaurant
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,Jazz Bistro,43.65567828473835,-79.37927565514764,Music Venue
